InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
539660,19120,POSTAGE,12,2024-08-31,30.01,10413,United Kingdom
539660,35503,SET OF 3 CAKE TINS,12,2024-08-31,2.42,10413,United Kingdom
539660,89724,PARTY BUNTING,10,2024-08-31,44.52,10413,United Kingdom
539660,57223,REGENCY CAKESTAND 3 TIER,10,2024-08-31,7.16,10413,United Kingdom
539660,43607,POSTAGE,5,2024-08-31,31.1,10413,United Kingdom
539660,85044,REGENCY CAKESTAND 3 TIER,5,2024-08-31,37.33,10413,United Kingdom
539658,84843,LUNCH BAG BLACK SKULL,15,2024-09-01,28.28,10413,United Kingdom
539658,70220,PARTY BUNTING,13,2024-09-01,7.65,10413,United Kingdom
539658,69337,WHITE HANGING HEART T-LIGHT HOLDER,16,2024-09-01,43.28,10413,United Kingdom
539658,32379,SET OF 3 CAKE TINS,11,2024-09-01,12.12,10413,United Kingdom
539658,22423,WHITE HANGING HEART T-LIGHT HOLDER,10,2024-09-01,13.95,10413,United Kingdom
536715,24060,JUMBO BAG RED RETROSPOT,14,2024-09-02,20.15,10076,Spain
536715,34258,SET OF 3 CAKE TINS,3,2024-09-02,12.01,10076,Spain
536715,37846,LUNCH BAG BLACK SKULL,1,2024-09-02,31.1,10076,Spain
536715,98601,PARTY BUNTING,12,2024-09-02,7.61,10076,Spain
536715,37413,PARTY BUNTING,8,2024-09-02,21.37,10076,Spain
536715,85952,POSTAGE,6,2024-09-02,21.73,10076,Spain
538327,58665,JUMBO BAG RED RETROSPOT,17,2024-09-04,11.26,10259,Spain
538896,90631,WHITE HANGING HEART T-LIGHT HOLDER,15,2024-09-11,30.61,10322,Australia
538896,52998,ASSORTED COLOUR BIRD ORNAMENT,9,2024-09-11,6.81,10322,Australia
538896,67967,REGENCY CAKESTAND 3 TIER,2,2024-09-11,9.22,10322,Australia
541310,41980,WHITE HANGING HEART T-LIGHT HOLDER,5,2024-09-11,13.82,10626,Netherlands
541310,91835,POSTAGE,14,2024-09-11,4.8,10626,Netherlands
541310,47330,POSTAGE,16,2024-09-11,29.58,10626,Netherlands
538896,82380,WHITE HANGING HEART T-LIGHT HOLDER,17,2024-09-11,26.36,10322,Australia
538896,59056,POSTAGE,16,2024-09-11,20.43,10322,Australia
538896,73767,REGENCY CAKESTAND 3 TIER,7,2024-09-11,24.01,10322,Australia
538897,15985,LUNCH BAG BLACK SKULL,5,2024-09-12,10.48,10322,Australia
539657,57474,WHITE HANGING HEART T-LIGHT HOLDER,3,2024-09-24,21.53,10413,United Kingdom
539657,82684,SET OF 3 CAKE TINS,8,2024-09-24,41.46,10413,United Kingdom
539657,95114,POSTAGE,7,2024-09-24,16.17,10413,United Kingdom
537882,52790,REGENCY CAKESTAND 3 TIER,9,2024-09-25,20.6,10208,France
537882,11588,POSTAGE,16,2024-09-25,31.33,10208,France
537882,57434,WHITE HANGING HEART T-LIGHT HOLDER,1,2024-09-25,11.09,10208,France
537285,58245,REGENCY CAKESTAND 3 TIER,2,2024-09-27,32.91,10134,Germany
537285,47778,PARTY BUNTING,12,2024-09-27,30.81,10134,Germany
537285,31815,JUMBO BAG RED RETROSPOT,3,2024-09-27,16.84,10134,Germany
537285,84568,PARTY BUNTING,4,2024-09-27,12.16,10134,Germany
541321,54413,WHITE HANGING HEART T-LIGHT HOLDER,13,2024-10-09,38.82,10628,Spain
541321,81755,PARTY BUNTING,12,2024-10-09,36.1,10628,Spain
541321,55337,WHITE HANGING HEART T-LIGHT HOLDER,14,2024-10-09,37.49,10628,Spain
541321,77241,POSTAGE,10,2024-10-09,39.49,10628,Spain
541321,34242,PARTY BUNTING,2,2024-10-09,8.67,10628,Spain
537674,22549,SET OF 3 CAKE TINS,5,2024-10-14,23.97,10182,Netherlands
537674,36526,JUMBO BAG RED RETROSPOT,14,2024-10-14,35.74,10182,Netherlands
537674,87556,WHITE HANGING HEART T-LIGHT HOLDER,14,2024-10-14,23.1,10182,Netherlands
537674,80755,LUNCH BAG BLACK SKULL,12,2024-10-14,19.52,10182,Netherlands
537674,34756,PARTY BUNTING,4,2024-10-14,28.95,10182,Netherlands
537674,17881,JUMBO BAG RED RETROSPOT,2,2024-10-14,44.3,10182,Netherlands
539659,48222,SET OF 3 CAKE TINS,16,2024-10-22,11.43,10413,United Kingdom
539659,73899,POSTAGE,2,2024-10-22,40.36,10413,United Kingdom
539659,41307,ASSORTED COLOUR BIRD ORNAMENT,3,2024-10-22,28.14,10413,United Kingdom
539659,95551,SET OF 3 CAKE TINS,1,2024-10-22,13.86,10413,United Kingdom
540600,82119,REGENCY CAKESTAND 3 TIER,10,2024-10-25,13.62,10530,France
538328,94503,SET OF 3 CAKE TINS,2,2024-10-25,2.37,10259,Spain
540600,74726,POSTAGE,17,2024-10-25,28.03,10530,France
540600,80688,PARTY BUNTING,14,2024-10-25,35.56,10530,France
540600,57751,LUNCH BAG BLACK SKULL,6,2024-10-25,2.12,10530,France
540600,71558,WHITE HANGING HEART T-LIGHT HOLDER,10,2024-10-25,33.38,10530,France
540603,48720,REGENCY CAKESTAND 3 TIER,6,2024-10-26,30.49,10530,France
540603,93079,POSTAGE,13,2024-10-26,43.75,10530,France
538326,24442,REGENCY CAKESTAND 3 TIER,7,2024-10-28,35.37,10259,Spain
538329,14962,PARTY BUNTING,3,2024-10-29,2.99,10259,Spain
538329,19073,SET OF 3 CAKE TINS,12,2024-10-29,35.35,10259,Spain
538329,95680,SET OF 3 CAKE TINS,11,2024-10-29,12.64,10259,Spain
538329,31415,LUNCH BAG BLACK SKULL,2,2024-10-29,41.59,10259,Spain
540207,81721,JUMBO BAG RED RETROSPOT,14,2024-10-30,41.45,10483,United Kingdom
541319,30405,ASSORTED COLOUR BIRD ORNAMENT,11,2024-10-30,32.98,10628,Spain
540207,23073,POSTAGE,11,2024-10-30,33.5,10483,United Kingdom
541319,51831,POSTAGE,1,2024-10-30,31.57,10628,Spain
541319,41548,PARTY BUNTING,11,2024-10-30,16.39,10628,Spain
537221,19946,WHITE HANGING HEART T-LIGHT HOLDER,11,2024-10-30,8.56,10128,United Kingdom
541319,95839,LUNCH BAG BLACK SKULL,5,2024-10-30,19.52,10628,Spain
540207,49064,REGENCY CAKESTAND 3 TIER,16,2024-10-30,24.31,10483,United Kingdom
540207,86401,WHITE HANGING HEART T-LIGHT HOLDER,10,2024-10-30,29.04,10483,United Kingdom
539984,97682,POSTAGE,13,2024-11-01,9.74,10457,United Kingdom
538699,58246,WHITE HANGING HEART T-LIGHT HOLDER,14,2024-11-02,26.74,10300,Spain
538699,73767,PARTY BUNTING,5,2024-11-02,32.16,10300,Spain
538837,48302,ASSORTED COLOUR BIRD ORNAMENT,6,2024-11-02,20.91,10315,Spain
538836,12140,SET OF 3 CAKE TINS,9,2024-11-03,30.68,10315,Spain
538895,10461,ASSORTED COLOUR BIRD ORNAMENT,7,2024-11-04,42.21,10322,Australia
538895,50630,SET OF 3 CAKE TINS,6,2024-11-04,29.04,10322,Australia
